69056,68388,1579
139362,138454,1530
139362,140439,873
139362,142552,1836
180698,179915,1608
180698,184255,1713
279896,80024,1578
279896,281737,802
336744,22912,1524
336744,140801,1595
356243,3680,1624
356243,45020,660
356243,46284,1727
381451,29004,1214
407785,55309,1259
407785,57719,578
407785,58266,1639
422073,69538,1360
422073,72831,1169
487321,3334,1662
487321,136587,829
518953,34939,1652
518953,39475,1695
542747,10483,1221
542747,61642,658
542747,63536,785
626779,94420,1585
725480,193229,1353
725480,195227,632
725480,196786,928
763736,231608,1503
763736,234423,1210
787862,206849,1349
787862,258245,958
827834,166837,1251
827834,249882,1129
884676,110022,1301
884676,225929,859
884676,226828,1289
969271,194479,1379
983289,208654,1465
983289,210689,690
983289,213211,1861
1031932,257172,1581
1031932,261365,1134
1114981,173177,1921
1114981,342491,678
1166339,224950,1437
1166339,228395,1233
1218695,171975,1350
1218695,279293,532
1218695,280916,1014
1297984,250968,1682
1351726,304874,1318
1351726,307354,552
1351726,308969,1328
1446682,399675,1512
1446682,403349,1436
1496623,348957,1383
1496623,452506,563
1514011,331770,1135
1514011,370073,1475
1557047,288643,1181
1557047,376911,546
1557047,378399,1803
1611189,342678,1662
1653865,385358,1618
1653865,387757,965
1653865,389994,1019
1714031,324490,1437
1714031,449828,573
1761347,277160,1698
1761347,374104,846
1822644,338289,1753
1822644,342857,979
1865510,381315,1670
1865510,383681,553
1865510,385825,725
1916051,431840,1345
1976997,370358,1262
1976997,494894,590
1976997,496552,647
2039925,307184,1589
2039925,436709,1726
2115642,382918,1598
2115642,384756,845
2196834,463896,1763
2196834,468207,569
2264631,532082,1434
2264631,534245,820
2264631,535892,972
2307539,488484,1571
2394880,401306,1129
2394880,577862,685
2394880,579505,1360
2485123,310803,1618
2485123,494465,531
2543514,369420,1433
2543514,371082,639
2631615,457247,1776
2631615,461470,1892
2691058,516624,1889
2691058,519206,637
2691058,520050,1688
2788013,418699,1584
2835878,466739,1666
2835878,468963,724
2835878,470211,778
2924831,555813,1526
2924831,559025,1808
2989468,620191,1649
2989468,622786,879
3085688,523422,1412
3085688,720959,1571
3148297,460433,1915
3148297,588236,592
3148297,590389,618
3174967,487057,1908
3214937,527298,1537
3214937,529208,848
3214937,531355,795
3250793,563020,1619
3250793,566251,1719
3325920,487331,1278
3325920,640399,683
3347793,508845,1900
3347793,512704,956
3399473,560704,1663
3399473,563285,912
3399473,563803,1906
3475609,637075,1334
3548935,562751,1825
3548935,712474,674
3548935,714784,1067
3612907,626772,1686
3612907,631546,1379
3666656,680966,1137
3666656,683050,768
3724990,738958,1669
3724990,742344,875
3768491,694584,1540
3768491,785124,954
3768491,786885,1327
3841337,622107,1460
3904577,558829,1131
3904577,687369,509
3904577,689566,1983
3936298,590224,1521
3936298,593320,1528
3990870,535020,1186
3990870,646710,997
4028932,572978,1250
4028932,577559,865
4066873,611047,1569
4066873,613003,940
4066873,615253,882
4139599,683646,1595
4214441,608095,1480
4214441,760445,819
4214441,761429,726
4259957,562780,1102
4259957,657662,1291
4328189,630586,1590
4328189,632826,600
4366534,669148,1274
4366534,673523,687
4452726,755531,1377
4452726,757142,790
4452726,758702,1552
4480889,726587,1579
4532684,778363,1515
4532684,780234,979
4532684,782792,516
4627701,873373,1548
4627701,877485,1021
4637923,883845,1116
4637923,886017,635
4714903,805950,1887
4714903,963728,839
4803058,894234,1315
4803058,896291,830
4803058,898891,811
4813299,883465,1200
4907594,977427,1744
4907594,979988,511
4907594,981987,808
4989697,1059864,1214
4989697,1064283,1446
5025381,1023484,1350
5025381,1097162,526
5101123,1099367,1271
5101123,1103158,1329
5156942,1154758,1952
5156942,1156941,668
5156942,1158758,1562
5236280,1234256,1405
5276986,1192586,1862
5276986,1276947,947
5276986,1278786,1483
5327215,1142334,1617
5327215,1246711,965
5424477,1045308,1351
5424477,1241879,645
5514107,1134762,1470
5514107,1138600,701
5578346,1069907,1194
5578346,1201536,637
5578346,1203125,895
5670412,1161829,1455
5702033,1193609,1336
5702033,1195647,811
5702033,1196794,944
5732591,1224229,1168
5732591,1227814,1593
5787512,1168642,1550
5787512,1281616,755
5841717,1222571,1870
5841717,1226507,1536
5939341,1320238,1499
5939341,1322643,570
5939341,1325136,1824
5999096,1380126,1371
6096149,1282166,1581
6096149,1479428,915
6096149,1481450,1313
6185272,1371421,1568
6185272,1375929,622
6204391,1351354,1600
6204391,1393072,678
6261602,1408741,1328
6261602,1412904,1116
6315787,1353614,1626
6315787,1464979,967
6315787,1467616,1171
6331658,1338169,1409
6401494,1268234,1411
6401494,1410171,817
6401494,1411273,926
6414685,1281377,1450
6414685,1284972,1643
6483074,1349884,1076
6483074,1351543,915
6568438,1435074,1539
6568438,1439102,1351
6617721,1384805,1832
6617721,1486242,783
6617721,1489018,949
6647948,1415351,1316
6677718,1384652,1753
6677718,1447373,831
6677718,1448209,1015
6691063,1371467,1690
6691063,1401946,1714
6769764,1450079,1711
6769764,1452169,625
6844688,1525217,1613
6844688,1529603,831
6911074,1591504,1493
6911074,1593715,565
6911074,1595181,541
6997504,1504535,1255
7071571,1578333,1478
7071571,1580708,789
7071571,1581853,1953
7127491,1521815,1198
7127491,1638788,1202
7223806,1617818,1738
7223806,1620359,501
7270111,1664064,1886
7270111,1668417,731
7354719,1748679,1889
7354719,1750880,602
7354719,1752513,1881
7383305,1719425,1533
7443702,1658992,1238
7443702,1781560,889
7443702,1783135,1871
7505328,1720745,1097
7505328,1723524,1966
7552961,1768380,1091
7552961,1770066,893
7624704,1840035,1445
7624704,1843896,1504
7663327,1800515,1773
7663327,1881288,796
7663327,1882474,1879
7712523,1849848,1418
7790037,1927502,1434
7790037,1929429,502
7790037,1931822,719
7804199,1941611,1249
7804199,1945625,1971
7833999,1911143,1376
7833999,1973775,507
7883488,1960311,1739
7883488,1964568,1814
7909737,1933453,1448
