20,1,14
38,1,11
38,47,6
50,1,12
74,1,12
74,46,8
86,1,16
96,4,16
96,38,3
119,1,14
133,8,15
133,35,7
161,1,7
186,21,9
186,48,8
211,1,9
227,1,18
227,41,9
251,16,18
275,43,12
275,63,5
298,64,10
326,33,12
326,121,5
351,3,13
368,1,13
368,49,5
394,18,14
415,42,11
415,75,9
443,69,10
460,50,11
460,102,5
477,63,16
490,42,13
490,108,4
511,25,14
540,50,13
540,72,3
559,75,11
588,104,5
588,126,8
610,75,12
624,89,15
624,124,4
647,60,9
670,38,12
670,103,5
680,49,13
705,76,12
705,96,8
730,94,12
755,62,17
755,150,5
782,93,9
795,103,12
795,127,8
824,134,8
844,107,10
844,186,7
868,135,6
882,114,17
882,175,4
898,134,11
922,155,15
922,174,9
938,172,8
962,143,8
962,224,6
982,166,10
1011,188,16
1011,210,8
1035,160,13
1046,149,7
1046,198,9
1074,174,17
1094,195,15
1094,216,9
1123,222,11
1138,204,6
1138,269,4
1153,216,9
1180,242,14
1180,263,3
1201,215,16
1217,231,16
1217,250,8
1233,247,11
1245,263,9
1245,292,5
1255,244,15
1278,226,11
1278,299,8
1297,244,14
1311,255,12
1311,274,6
1327,232,11
1340,247,8
1340,268,5
1366,115,116
